DATE,TIME,AUTHOR,COPY,ASSETS
"Sunday, September 13th, 2015",20:18,negative,"I used to think counting down from 6 doses of chemo would be easy, but now all I can think of is ""fuck....5 more doses seems like eternity."" ",
"Sunday, September 13th, 2015",20:18,negative,My stomach wants to eat itself.,
"Sunday, September 13th, 2015",20:18,negative,PIE DOESN'T TASTE GOOD ANYMORE. OHHHHH WHAT HAS THE WORLD COME TO.,
"Monday, September 14th, 2015",10:15,me,"I thought I was feeling better yesterday, and I thought the worst was over.",
"Monday, September 14th, 2015",10:15,negative,"So much for waking up, crying to the bathroom while holding your stomach in blinding pain. How graceful. Like a fking swan.",
"Monday, September 14th, 2015",10:15,positive,Your intestinal system was effected by chemo. Your body is doing it's job. Be glad it's working properly!,
"Monday, September 14th, 2015",10:15,positive,"As mom would say, ""well they promised they'd give you medication to prevent nausea but they didn't say it wouldn't make you miserable""",
"Monday, September 14th, 2015",16:14,me,"Mid-day, after chatting with a friend who came over I finally had to get back to fetal position and lied down in my room. ",
"Monday, September 14th, 2015",16:14,me,I called my mom over because I was in pain. She grabbed my hand and looked down at me.,
"Monday, September 14th, 2015",16:14,positive,"How could I not make a joke? I looked up at her, grabbed her hand and said dramatically, ""...come closer....I have to tell you something...""",
"Monday, September 14th, 2015",16:14,positive,"She laughed, slapped me and said, ""UNGH I can't believe you can still find humor in this."" ",
"Monday, September 14th, 2015",16:14,positive,"You know, there are funny videos and supportive friends....but nothing helps the pain more than a mother's touch. Just having her sit next to me and tell me everything will be okay is more powerful than any drug.",
"Wednesday, September 16th, 2015",10:10,me,"When I was processing my diagnosis, I was scared that no one would want to talk to me after they learned that I had cancer. They wouldn't know what to say, and would awkwardly cut ties. ",
"Wednesday, September 16th, 2015",10:10,positive,Silly me.,
"Wednesday, September 16th, 2015",10:10,positive,"I have so much support now, I have no idea how to handle it all. ",
"Wednesday, September 16th, 2015",10:10,positive,"Each new message of support is incredibly, incredibly meaningful. ",
"Wednesday, September 16th, 2015",10:10,me,"Makes me wonder why people are so hidden about the problems they have. If people were open, wouldn't it make helping them so much easier?",
"Wednesday, September 16th, 2015",10:10,positive,"Some of the best messages are from people who have been through the same thing. I'm discovering so many people I had already known had cancer, and I would have never guessed. They check up on me, and remind me that I'm going to be okay. 

They share their own stories and say Texting With Cancer makes them remember when they were going through it themselves. ",
"Wednesday, September 16th, 2015",10:10,positive,Someone even said I'd look 10 years younger when I'm done ;) I can just imagine the conversation now...,
"Wednesday, September 16th, 2015",10:10,positive," “Wow Natalie, you look GREAT!”

“Oh, yeah, thanks. I’m on this new fad diet called cancer. It makes you not want to eat anything, like, ever. And when you do, don’t worry…you go in for another round of chemo!""",
"Wednesday, September 16th, 2015",10:10,positive,"""So it's basically like juicing.""",
"Wednesday, September 16th, 2015",10:10,me,Bahahaha. I would never wish this diet on anyone. It's horrible.,
"Wednesday, September 16th, 2015",10:32,me,Renee stopped by today to give me a care package.,
"Wednesday, September 16th, 2015",10:32,me,"<img src=""img/renee.jpg""></img>",
"Wednesday, September 16th, 2015",10:32,positive,"It's one of the most thoughtful things I've ever received. She googled side effects of chemo and gave me everything I might need, and it was so hard not to cry when I took out all of the things. The cherry on top were the tickets to see Tig at The Largo -- she gave a famous stand up routine about breast cancer. Talk about a care package full of love.",
"Wednesday, September 16th, 2015",10:32,positive,"Among the endless messages I’ve been receiving, the offerings of services, the constant “how are you doing”s, and the little gifts…even when I’m in physical pain, they’re all reminders that I’m not alone.

It’s no doubt that great friends and family will help you through anything.",
"Thursday, September 17th, 2015",15:43,me,Just got back from the doctor.,
"Thursday, September 17th, 2015",15:43,positive,Holy shit. Holy shit holy shit. The doctor and nurse were blown away by how small the tumor became after just one dose.,
"Thursday, September 17th, 2015",15:43,positive,Chemo can drop the mic now.,
"Thursday, September 17th, 2015",15:43,positive,It makes all the pain worth it. ,
"Thursday, September 17th, 2015",15:43,me,"I feel lucky that it's so easy for me to feel the difference. I feel horrible for the people that can't readily feel the treatment working, or worse, have the treatment not work at all. ",
"Thursday, September 17th, 2015",15:43,negative,More common than you think.,
"Sunday, September 20th, 2015",10:31,me,I think I've become a hypochondriac for losing my hair.,
"Sunday, September 20th, 2015",10:31,me,"The funny thing is I've always lost some hair whenever I take a shower (I have a lot to begin with), and I'm actually losing LESS since chemo.",
"Sunday, September 20th, 2015",10:31,me,"Yet, still, everytime I see some fall I'm like ""OH GOD IT'S THE CANCER ISN'T IT""",
"Sunday, September 20th, 2015",10:31,positive,Remember! Side effects don't happen to everyone. Don't convince yourself that it'll happen and it might not!,
"Monday, September 21st, 2015",12:58,me,OH GOD IT'S SO GOOD TO TASTE FOOD AGAIN. EAT ALL THE THINGS. NOM NOMNOMNOMNOMNOM.,
"Monday, September 21st, 2015",12:58,negative,Besides the fact that I have like....3 mouth sores and can barely eat...,
"Monday, September 21st, 2015",12:58,positive,...BUT I WILL TAKE WHAT I CAN GET NOMNOMNOM,
"Monday, September 21st, 2015",18:43,me,"I have to take extra precautions during the rare times I go out to avoid germs and infection...so, in short, I have to wear face masks and gloves.",
"Monday, September 21st, 2015",18:43,me,"<img src=""img/mask.jpg""></img>",
"Monday, September 21st, 2015",18:43,positive,"It's weird-- I expected to be self conscious when walking around in public, but I got used to it pretty quickly.

In fact, I’m going to design a few to coordinate with different outfits. For all I know, the next biggest Vogue trend will be badass face masks. ",
"Monday, September 21st, 2015",18:43,positive,You can always turn things in your favor.,
